Date,Model,Input Tokens,Output Tokens,Cache Creation Tokens,Cache Read Tokens,Requests,Cost
2026-03-17,claude-3-5-sonnet-20241022,245000,58000,12000,34000,180,1.42
2026-03-18,claude-3-5-sonnet-20241022,312000,74000,18000,42000,224,1.89
2026-03-18,claude-opus-4-6,88000,22000,5000,8000,32,2.11
2026-03-19,claude-3-5-sonnet-20241022,289000,67000,14000,38000,201,1.71
2026-03-19,claude-haiku-4-5-20251001,420000,95000,0,0,380,0.48
2026-03-20,claude-3-5-sonnet-20241022,334000,81000,19000,44000,238,2.02
2026-03-20,claude-opus-4-6,102000,27000,6000,12000,38,2.54
2026-03-21,claude-3-5-sonnet-20241022,198000,46000,9000,22000,142,1.19
2026-03-22,claude-3-5-sonnet-20241022,156000,37000,7000,18000,112,0.94
2026-03-23,claude-3-5-sonnet-20241022,267000,63000,13000,31000,191,1.59
2026-03-23,claude-haiku-4-5-20251001,512000,118000,0,0,461,0.59
2026-03-24,claude-3-5-sonnet-20241022,301000,72000,15000,39000,216,1.81
2026-03-24,claude-opus-4-6,95000,24000,5000,10000,35,2.36
2026-03-25,claude-3-5-sonnet-20241022,278000,66000,13000,36000,199,1.67
2026-03-26,claude-3-5-sonnet-20241022,323000,77000,17000,41000,231,1.94
2026-03-26,claude-haiku-4-5-20251001,488000,111000,0,0,439,0.55
2026-03-27,claude-3-5-sonnet-20241022,356000,85000,21000,47000,255,2.14
2026-03-27,claude-opus-4-6,115000,29000,7000,14000,42,2.87
2026-03-28,claude-3-5-sonnet-20241022,212000,50000,10000,24000,152,1.27
2026-03-29,claude-3-5-sonnet-20241022,174000,41000,8000,20000,125,1.04
2026-03-30,claude-3-5-sonnet-20241022,291000,69000,14000,37000,208,1.75
2026-03-30,claude-haiku-4-5-20251001,534000,123000,0,0,481,0.61
2026-03-31,claude-3-5-sonnet-20241022,315000,75000,16000,40000,225,1.89
2026-03-31,claude-opus-4-6,109000,27000,6000,13000,40,2.72
2026-04-01,claude-3-5-sonnet-20241022,268000,64000,12000,33000,192,1.61
2026-04-01,claude-haiku-4-5-20251001,467000,107000,0,0,421,0.53
2026-04-02,claude-3-5-sonnet-20241022,342000,82000,18000,45000,244,2.05
2026-04-02,claude-opus-4-6,98000,25000,5000,11000,36,2.44
2026-04-03,claude-3-5-sonnet-20241022,387000,93000,22000,52000,277,2.32
2026-04-04,claude-3-5-sonnet-20241022,301000,72000,15000,39000,215,1.81
