Date,Model,Requests,Input Tokens,Output Tokens,Cost ($)
2026-03-17,gpt-4o,312,1820000,214000,9.82
2026-03-17,gpt-4o-mini,1420,3240000,542000,1.96
2026-03-18,gpt-4o,378,2210000,261000,11.93
2026-03-18,gpt-4o-mini,1618,3690000,617000,2.23
2026-03-18,o3-mini,45,310000,88000,3.41
2026-03-19,gpt-4o,341,1990000,235000,10.74
2026-03-19,gpt-4o-mini,1512,3450000,577000,2.09
2026-03-20,gpt-4o,402,2350000,277000,12.69
2026-03-20,gpt-4o-mini,1724,3930000,657000,2.38
2026-03-20,o3-mini,52,358000,102000,3.94
2026-03-21,gpt-4o,289,1690000,199000,9.13
2026-03-21,gpt-4o-mini,1234,2820000,471000,1.71
2026-03-22,gpt-4o,256,1495000,176000,8.07
2026-03-22,gpt-4o-mini,1098,2510000,419000,1.52
2026-03-23,gpt-4o,367,2145000,252000,11.58
2026-03-23,gpt-4o-mini,1567,3580000,598000,2.17
2026-03-23,o3-mini,48,330000,94000,3.64
2026-03-24,gpt-4o,421,2460000,290000,13.27
2026-03-24,gpt-4o-mini,1802,4120000,688000,2.49
2026-03-25,gpt-4o,388,2268000,267000,12.24
2026-03-25,gpt-4o-mini,1661,3800000,635000,2.30
2026-03-25,o3-mini,61,420000,120000,4.62
2026-03-26,gpt-4o,445,2600000,307000,14.03
2026-03-26,gpt-4o-mini,1893,4330000,724000,2.62
2026-03-27,gpt-4o,398,2325000,274000,12.55
2026-03-27,gpt-4o-mini,1705,3900000,651000,2.36
2026-03-27,o3-mini,57,392000,112000,4.32
2026-03-28,gpt-4o,301,1758000,207000,9.49
2026-03-28,gpt-4o-mini,1289,2950000,492000,1.79
2026-03-29,gpt-4o,267,1560000,184000,8.42
2026-03-29,gpt-4o-mini,1145,2618000,437000,1.59
2026-03-30,gpt-4o,389,2273000,268000,12.27
2026-03-30,gpt-4o-mini,1666,3812000,637000,2.31
2026-03-30,o3-mini,55,379000,108000,4.17
2026-03-31,gpt-4o,412,2408000,284000,13.00
2026-03-31,gpt-4o-mini,1763,4031000,673000,2.44
2026-04-01,gpt-4o,356,2081000,245000,11.24
2026-04-01,gpt-4o-mini,1524,3484000,582000,2.11
2026-04-01,o3-mini,49,337000,96000,3.74
2026-04-02,gpt-4o,434,2537000,299000,13.70
2026-04-02,gpt-4o-mini,1856,4248000,709000,2.57
2026-04-03,gpt-4o,467,2730000,322000,14.74
2026-04-03,gpt-4o-mini,1994,4562000,762000,2.76
2026-04-03,o3-mini,68,468000,134000,5.15
2026-04-04,gpt-4o,401,2344000,276000,12.66
2026-04-04,gpt-4o-mini,1718,3930000,656000,2.38
